sentence,sentiment,Cleaned_Text,Lemmatized_Text
I have yet to run this new battery below two bars and that's three days without charging.,positive,i have yet to run this new battery below two bars and thats three days without charging,I have yet to run this new battery below two bar and that s three day without charge
I bought it for my mother and she had a problem with the battery.,negative,i bought it for my mother and she had a problem with the battery,I buy it for my mother and she have a problem with the battery
Great Pocket PC / phone combination.,positive,great pocket pc phone combination,great pocket pc phone combination
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,positive,ive owned this phone for 7 months now and can say that its the best mobile phone ive had,I ve own this phone for 7 month now and can say that its the good mobile phone I ve have
I didn't think that the instructions provided were helpful to me.,negative,i didnt think that the instructions provided were helpful to me,I do not think that the instruction provide be helpful to I
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,negative,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,people could not hear I talk and I have to pull out the earphone and talk on the phone
Doesn't hold charge.,negative,doesnt hold charge,do not hold charge
"This is a simple little phone to use, but the breakage is unacceptible.",negative,this is a simple little phone to use but the breakage is unacceptible,this be a simple little phone to use but the breakage be unacceptible
This product is ideal for people like me whose ears are very sensitive.,positive,this product is ideal for people like me whose ears are very sensitive,this product be ideal for people like I whose ear be very sensitive
It is unusable in a moving car at freeway speed.,negative,it is unusable in a moving car at freeway speed,it be unusable in a move car at freeway speed
I have two more years left in this contract and I hate this phone.,negative,i have two more years left in this contract and i hate this phone,I have two more year leave in this contract and I hate this phone
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,positive,car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,car charger as well as ac charger be include to make sure you never run out of juicehighy recommend
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,negative,you need at least 3 mins to get to your phone book from the time you first turn on the phonebattery life is short,you need at least 3 min to get to your phone book from the time you first turn on the phonebattery life be short
It has kept up very well.,positive,it has kept up very well,it have keep up very well
Poor Talk Time Performance.,negative,poor talk time performance,poor talk time performance
The case is great and works fine with the 680.,positive,the case is great and works fine with the 680,the case be great and work fine with the 680
worthless product.,negative,worthless product,worthless product
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",positive,it has a great camera thats 2mp and the pics are nice and clear with great picture quality,it have a great camera that s 2mp and the pic be nice and clear with great picture quality
I was not impressed by this product.,negative,i was not impressed by this product,I be not impress by this product
Nice headset priced right.,positive,nice headset priced right,nice headset price right
I only hear garbage for audio.,negative,i only hear garbage for audio,I only hear garbage for audio
Excellent bluetooth headset.,positive,excellent bluetooth headset,excellent bluetooth headset
It has all the features I want,positive,it has all the features i want,it have all the feature I want
Who in their right mind is gonna buy this battery?.,negative,who in their right mind is gonna buy this battery,who in their right mind be go to buy this battery
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,negative,after arguing with verizon regarding the dropped calls we returned the phones after two days,after argue with verizon regard the drop call we return the phone after two day
This case seems well made.,positive,this case seems well made,this case seem well make
Disappointed with battery.,negative,disappointed with battery,disappoint with battery
Not loud enough and doesn't turn on like it should.,negative,not loud enough and doesnt turn on like it should,not loud enough and do not turn on like it should
good protection and does not make phone too bulky.,positive,good protection and does not make phone too bulky,good protection and do not make phone too bulky
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,positive,a usable keyboard actually turns a pda into a realworld useful machine instead of just a neat gadget,a usable keyboard actually turn a pda into a realworld useful machine instead of just a neat gadget
This phone is pretty sturdy and I've never had any large problems with it.,positive,this phone is pretty sturdy and ive never had any large problems with it,this phone be pretty sturdy and I ve never have any large problem with it
I love this thing!,positive,i love this thing,I love this thing
Everything about it is fine and reasonable for the price i.e.,positive,everything about it is fine and reasonable for the price ie,everything about it be fine and reasonable for the price ie
VERY DISAPPOINTED.,negative,very disappointed,very disappointed
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,positive,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,I even drop this phone into a stream and it be submerge for 15 second and it still work great
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,positive,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end,I have be very happy with the 510 and have have no complaint from any one regard my sound quality on their end
The buttons for on and off are bad.,negative,the buttons for on and off are bad,the button for on and off be bad
Essentially you can forget Microsoft's tech support.,negative,essentially you can forget microsofts tech support,essentially you can forget microsoft tech support
"I really recommend this faceplates since it looks very nice, elegant and cool.",positive,i really recommend this faceplates since it looks very nice elegant and cool,I really recommend this faceplate since it look very nice elegant and cool
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,positive,these headphones were a great find and i think they are perhaps the best purchase ive made in the last several years seriously,these headphone be a great find and I think they be perhaps the good purchase I ve make in the last several year seriously
Buy a different phone - but not this.,negative,buy a different phone but not this,buy a different phone but not this
You have to hold the phone at a particular angle for the other party to hear you clearly.,negative,you have to hold the phone at a particular angle for the other party to hear you clearly,you have to hold the phone at a particular angle for the other party to hear you clearly
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,negative,the one big drawback of the mp3 player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,the one big drawback of the mp3 player be that the button on the phone front cover that let you pause and skip song lock out after a few second
"A week later after I activated it, it suddenly died.",negative,a week later after i activated it it suddenly died,a week later after I activate it it suddenly die
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,positive,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,it feel more comfortable than most headset because I wear glass and that get in the way sometimes
Great for iPODs too.,positive,great for ipods too,great for ipod too
This device is great in several situations:1.),positive,this device is great in several situations1,this device be great in several situations1
Mic Doesn't work.,negative,mic doesnt work,mic do not work
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",negative,even in my bmw 3 series which is fairly quiet i have trouble hearing what the other person is saying,even in my bmw 3 series which be fairly quiet I have trouble hear what the other person be say
Great choice!,positive,great choice,great choice
Nice docking station for home or work.,positive,nice docking station for home or work,nice docking station for home or work
This is a beautiful phone.,positive,this is a beautiful phone,this be a beautiful phone
Love this product.,positive,love this product,love this product
Do Not Buy for D807...wrongly advertised for D807.,negative,do not buy for d807wrongly advertised for d807,do not buy for d807wrongly advertise for d807
This is a great little item.,positive,this is a great little item,this be a great little item
"I love this phone , It is very handy and has a lot of features .",positive,i love this phone it is very handy and has a lot of features,I love this phone it be very handy and have a lot of feature
I purchased this and within 2 days it was no longer working!!!!!!!!!,negative,i purchased this and within 2 days it was no longer working,I purchase this and within 2 day it be no long work
I wear it everyday and it holds up very well.,positive,i wear it everyday and it holds up very well,I wear it everyday and it hold up very well
Not a good bargain.,negative,not a good bargain,not a good bargain
"Well packaged, arrived on time, and works as intended.",positive,well packaged arrived on time and works as intended,well package arrive on time and work as intend
The battery runs down quickly.,negative,the battery runs down quickly,the battery run down quickly
"This item worked great, but it broke after 6 months of use.",negative,this item worked great but it broke after 6 months of use,this item work great but it break after 6 month of use
The headsets are easy to use and everyone loves them.,positive,the headsets are easy to use and everyone loves them,the headset be easy to use and everyone love they
This phone works great.,positive,this phone works great,this phone work great
The construction of the headsets is poor.,negative,the construction of the headsets is poor,the construction of the headset be poor
Product was excellent and works better than the verizon one and Boy was it cheaper!,positive,product was excellent and works better than the verizon one and boy was it cheaper,product be excellent and work well than the verizon one and boy be it cheap
The phone loads super!,positive,the phone loads super,the phone load super
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",negative,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,for a product that cost as much as this one do I expect it to work far well and with great ease than this thing do
Made very sturdy.,positive,made very sturdy,make very sturdy
Worked great!.,positive,worked great,work great
The ear buds only play music in one ear.,negative,the ear buds only play music in one ear,the ear bud only play music in one ear
Dont waste your money...,negative,dont waste your money,do not waste your money
Will order from them again!,positive,will order from them again,will order from they again
If you plan to use this in a car forget about it.,negative,if you plan to use this in a car forget about it,if you plan to use this in a car forget about it
I found this product to be waaay too big.,negative,i found this product to be waaay too big,I find this product to be waaay too big
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,positive,best ive found so far ive tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using,good I ve find so far I ve try 2 other bluetooth and this one have the good quality for both I and the listener as well as ease of use
I'm very disappointed with my decision.,negative,im very disappointed with my decision,I m very disappointed with my decision
Integrated seamlessly with the Motorola RAZR phone.,positive,integrated seamlessly with the motorola razr phone,integrate seamlessly with the motorola razr phone
"Buyer Beware, you could flush money right down the toilet.",negative,buyer beware you could flush money right down the toilet,buyer beware you could flush money right down the toilet
Definitely a bargain.,positive,definitely a bargain,definitely a bargain
The price was very good and with the free shipping and all it was a good purchase.,positive,the price was very good and with the free shipping and all it was a good purchase,the price be very good and with the free shipping and all it be a good purchase
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,negative,i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,I receive my supposedly new motorola 375 and apparently there be not a match between the phone and the charger
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",positive,prosgood camera very nice pictures also has cool styles like black and white and more,prosgood camera very nice picture also have cool style like black and white and more
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",negative,thats a huge design flaw unless im not using it correctly which i dont think is the case,that s a huge design flaw unless I m not use it correctly which I do not think be the case
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",positive,i love my 350 headset my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,I love my 350 headset my jabra350 bluetooth headset be great the reception be very good and the ear piece be a comfortable fit
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",negative,the camera although rated at an impressive 13 megapixels renders images that fall well below expectations of such a relatively high resolution,the camera although rate at an impressive 13 megapixel render image that fall well below expectation of such a relatively high resolution
I purcashed this for the car charger and it does not work.,negative,i purcashed this for the car charger and it does not work,I purcashe this for the car charger and it do not work
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",positive,sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me 2,sound quality on both end be excellent I use headset to call my wife and ask my wife to use headset to call I 2
This phone is slim and light and the display is beautiful.,positive,this phone is slim and light and the display is beautiful,this phone be slim and light and the display be beautiful
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,positive,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,its a little geeky but I think that s its sex on toast and it rock and ooze sex right down to its battery embed sleek stylish leather case
"Great product, fast shipping!.",positive,great product fast shipping,great product fast shipping
Absolutely great.,positive,absolutely great,absolutely great
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,positive,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,the keyboard be a nice compromise between a full qwerty and the basic cell phone number keypad
i got this phone around the end of may and i'm completely unhappy with it.,negative,i got this phone around the end of may and im completely unhappy with it,I get this phone around the end of may and I m completely unhappy with it
It is very comfortable on the ear.,positive,it is very comfortable on the ear,it be very comfortable on the ear
It has been a winner for us.,positive,it has been a winner for us,it have be a winner for we
)Setup couldn't have been simpler.,positive,setup couldnt have been simpler,setup could not have be simple
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,positive,ive tried several different earpieces for my cell phone and this jabra one is the first one ive found that fits my ear comfortably,I ve try several different earpiece for my cell phone and this jabra one be the first one I ve find that fit my ear comfortably
Could not get strong enough signal.,negative,could not get strong enough signal,could not get strong enough signal
Iam very pleased with my purchase.,positive,iam very pleased with my purchase,iam very pleased with my purchase
Bad Quality.,negative,bad quality,bad quality
Gets the job done.,positive,gets the job done,get the job do
Great audio!.,positive,great audio,great audio
Basically the service was very bad.,negative,basically the service was very bad,basically the service be very bad
it did not work in my cell phone plug i am very up set with the charger!.,negative,it did not work in my cell phone plug i am very up set with the charger,it do not work in my cell phone plug I be very up set with the charger
"I've only had my bluetooth for a few weeks, but I really like it.",positive,ive only had my bluetooth for a few weeks but i really like it,I ve only have my bluetooth for a few week but I really like it
The BT headset was such a disapoinment.,negative,the bt headset was such a disapoinment,the bt headset be such a disapoinment
It is so small and you don't even realize that it is there after a while of getting used to it.,positive,it is so small and you dont even realize that it is there after a while of getting used to it,it be so small and you do not even realize that it be there after a while of get use to it
The accompanied software is almost brilliant.,positive,the accompanied software is almost brilliant,the accompany software be almost brilliant
Headset works great & was packaged nicely to avoid any damage.,positive,headset works great was packaged nicely to avoid any damage,headset work great be package nicely to avoid any damage
!I definitly recommend!!,positive,i definitly recommend,I definitly recommend
Buyer--Be Very Careful!!!!!.,negative,buyerbe very careful,buyerbe very careful
The majority of the Logitech earbud headsets failed.,negative,the majority of the logitech earbud headsets failed,the majority of the logitech earbud headsets fail
Very good stuff for the price.,positive,very good stuff for the price,very good stuff for the price
My headset works just peachy-keen.,positive,my headset works just peachykeen,my headset work just peachykeen
In my house I was getting dropped coverage upstairs and no coverage in my basement.,negative,in my house i was getting dropped coverage upstairs and no coverage in my basement,in my house I be get drop coverage upstairs and no coverage in my basement
Voice recognition is tremendous!,positive,voice recognition is tremendous,voice recognition be tremendous
What a waste.,negative,what a waste,what a waste
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",negative,during several different 2 minute calls i experienced 5 drops and it was in an area that had 5 bars,during several different 2 minute call I experience 5 drop and it be in an area that have 5 bar
I was not happy with this item.,negative,i was not happy with this item,I be not happy with this item
very disappointed.,negative,very disappointed,very disappointed
The phone takes FOREVER to charge like 2 to 5 hours literally.,negative,the phone takes forever to charge like 2 to 5 hours literally,the phone take forever to charge like 2 to 5 hour literally
I got this phone on reccomendation from a relative and I'm glad I did.,positive,i got this phone on reccomendation from a relative and im glad i did,I get this phone on reccomendation from a relative and I m glad I do
What a waste of time!,negative,what a waste of time,what a waste of time
Its reception is very very poor.,negative,its reception is very very poor,its reception be very very poor
Items stated as included from the description ARE NOT INCLUDED.,negative,items stated as included from the description are not included,item state as include from the description be not include
"After 3 months, screen just went black all of a sudden.",negative,after 3 months screen just went black all of a sudden,after 3 month screen just go black all of a sudden
I Was Hoping for More.,negative,i was hoping for more,I be hope for more
"Audio Quality is poor, very poor.",negative,audio quality is poor very poor,audio quality be poor very poor
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,positive,i had absolutely no problem with this headset linking to my 8530 blackberry curve,I have absolutely no problem with this headset link to my 8530 blackberry curve
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",positive,i know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellwell this one works great,I know that sound funny but to I it seem like sketchy technology that would not work wellwell this one work great
I've bought $5 wired headphones that sound better than these.,negative,ive bought 5 wired headphones that sound better than these,I ve buy 5 wire headphone that sound well than these
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,positive,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,this phone be very fast with send any kind of message and web browsing be significantly fast than previous phone I have use
"Nice quality build, unlike some cheap s*** out there.",positive,nice quality build unlike some cheap s out there,nice quality build unlike some cheap s out there
This item is fantastic and works perfectly!,positive,this item is fantastic and works perfectly,this item be fantastic and work perfectly
And I just love the colors!,positive,and i just love the colors,and I just love the color
W810i is just SUPERB.,positive,w810i is just superb,w810i be just superb
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",negative,all i can do is whine on the internet so here it goesthe more i use the thing the less i like it,all I can do be whine on the internet so here it goesthe more I use the thing the less I like it
Great charger.,positive,great charger,great charger
This is essentially a communications tool that does not communicate.,negative,this is essentially a communications tool that does not communicate,this be essentially a communication tool that do not communicate
Works like a charm; it work the same as the one I got with the phone.,positive,works like a charm it work the same as the one i got with the phone,work like a charm it work the same as the one I get with the phone
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",negative,i still maintain that monkeys shouldnt make headphones we just obviously dont share enough dna to copy the design over to humans,I still maintain that monkey should not make headphone we just obviously do not share enough dna to copy the design over to human
Great Value.,positive,great value,great value
Doesn't work at all.. I bougth it for my L7c and its not working.,negative,doesnt work at all i bougth it for my l7c and its not working,do not work at all I bougth it for my l7c and its not work
"The look of it is very sharp and the screen is nice and clear, with great graphics.",positive,the look of it is very sharp and the screen is nice and clear with great graphics,the look of it be very sharp and the screen be nice and clear with great graphic
doesn't last long.,negative,doesnt last long,do not last long
One thing I hate is the mode set button at the side.,negative,one thing i hate is the mode set button at the side,one thing I hate be the mode set button at the side
EXCELLENT SERVICE!!!!!!!!.,positive,excellent service,excellent service
Thank you for wasting my money.,negative,thank you for wasting my money,thank you for waste my money
How can that be?The audio quality is poor.,negative,how can that bethe audio quality is poor,how can that bethe audio quality be poor
The iGo chargers and tips are really great.,positive,the igo chargers and tips are really great,the igo charger and tip be really great
The file browser offers all the options that one needs.Handsfree is great.,positive,the file browser offers all the options that one needshandsfree is great,the file browser offer all the option that one needshandsfree be great
Superb Phone on a Great Network.,positive,superb phone on a great network,superb phone on a great network
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",positive,i connected my wifes bluetoothmotorola hs850 to my phone and it worked like a charm whether the phone was in my pocket or the case,I connect my wife bluetoothmotorola hs850 to my phone and it work like a charm whether the phone be in my pocket or the case
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",negative,i put the latest os on it v115g and it now likes to slow to a crawl and lock up every once in a while,I put the late os on it v115 g and it now like to slow to a crawl and lock up every once in a while
It only recognizes the Phone as its storage device.,negative,it only recognizes the phone as its storage device,it only recognize the phone as its storage device
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative,if you like a loud buzzing to override all your conversations then this phone is for you,if you like a loud buzzing to override all your conversation then this phone be for you
Don't buy this product.,negative,dont buy this product,do not buy this product
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,negative,ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,I ve have this bluetoooth headset for some time now and still not comfortable with the way it fit on the ear
The sound quality is good and functionality is awesome.,positive,the sound quality is good and functionality is awesome,the sound quality be good and functionality be awesome
"I have this phone and it is a thorn in my side, I really abhor it.",negative,i have this phone and it is a thorn in my side i really abhor it,I have this phone and it be a thorn in my side I really abhor it
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,negative,i recently had problems where i could not stay connected for more than 10 minutes before being disconnected,I recently have problem where I could not stay connected for more than 10 minute before be disconnect
Incredible!.,positive,incredible,incredible
Design Flaw?.,negative,design flaw,design flaw
Great phone!.,positive,great phone,great phone
Waste of 13 bucks.,negative,waste of 13 bucks,waste of 13 buck
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",negative,but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then im lost,but when I check voice mail at night the keypad backlight turn off a few second into the first message and then I m lose
The replacement died in a few weeks.,negative,the replacement died in a few weeks,the replacement die in a few week
Any ring tone..Overall good phone to buy..,positive,any ring toneoverall good phone to buy,any ring toneoverall good phone to buy
Lately they have been extremely nice and helpful on the phone.,positive,lately they have been extremely nice and helpful on the phone,lately they have be extremely nice and helpful on the phone
I have had problems wit hit dropping signal and more.,negative,i have had problems wit hit dropping signal and more,I have have problem wit hit dropping signal and more
Not impressed.,negative,not impressed,not impress
"Light weight, I hardly notice it is there.",positive,light weight i hardly notice it is there,light weight I hardly notice it be there
You'll love how thin it is.,positive,youll love how thin it is,you ll love how thin it be
Bad Choice.,negative,bad choice,bad choice
The pleather case doesn't fit.,negative,the pleather case doesnt fit,the pleather case do not fit
"useless phone, simply deaf.",negative,useless phone simply deaf,useless phone simply deaf
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",positive,the color is even prettier than i thought it would be and the graphics are incredibly sharp,the color be even pretty than I think it would be and the graphic be incredibly sharp
All in all I think it was a good investment.,positive,all in all i think it was a good investment,all in all I think it be a good investment
It makes very strange ticking noises before it ends the call.,negative,it makes very strange ticking noises before it ends the call,it make very strange ticking noise before it end the call
The best electronics of the available FM Transmitters.,positive,the best electronics of the available fm transmitters,the good electronic of the available fm transmitter
Battery lasts only a few hours.,negative,battery lasts only a few hours,battery last only a few hour
"great headset, very impressed - H500.",positive,great headset very impressed h500,great headset very impressed h500
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",positive,the 12 mega pixel camera being a part of a phone is reasonably good7,the 12 mega pixel camera be a part of a phone be reasonably good7
I've had this for nearly 2 years and it has worked great for me.,positive,ive had this for nearly 2 years and it has worked great for me,I ve have this for nearly 2 year and it have work great for I
Good transmit audio.,positive,good transmit audio,good transmit audio
We are sending it back.,negative,we are sending it back,we be send it back
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,negative,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,I do not bother contact the company for few dollar product but I learn the lesson that I should not have buy this form online anyway
"If you hate earbugs, avoid this phone by all means.",negative,if you hate earbugs avoid this phone by all means,if you hate earbug avoid this phone by all mean
Great price also!,positive,great price also,great price also
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",positive,the range is very decent ive been able to roam around my house with the phone in the living room with no receptionsound quality issues,the range be very decent I ve be able to roam around my house with the phone in the living room with no receptionsound quality issue
fast service.,positive,fast service,fast service
I would highly recommend this.,positive,i would highly recommend this,I would highly recommend this
I would recommend this.,positive,i would recommend this,I would recommend this
"I also didn't like the ""on"" button, it felt like it would crack with use.",negative,i also didnt like the on button it felt like it would crack with use,I also do not like the on button it feel like it would crack with use
WORST PHONE EVER.,negative,worst phone ever,bad phone ever
I'm still infatuated with this phone.,positive,im still infatuated with this phone,I m still infatuate with this phone
Freezes frequently4.,negative,freezes frequently4,freeze frequently4
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,negative,its kind of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,its kind of embarrass to use because of how it look and mostly its embarrass how childlike the company be
"Simple, lightweight and great fit.",positive,simple lightweight and great fit,simple lightweight and great fit
"All in all, I'd expected a better consumer experience from Motorola.",negative,all in all id expected a better consumer experience from motorola,all in all i d expect a well consumer experience from motorola
There's a horrible tick sound in the background on all my calls that I have never experienced before.,negative,theres a horrible tick sound in the background on all my calls that i have never experienced before,there s a horrible tick sound in the background on all my call that I have never experience before
These are certainly very comfortable and functionality is decent.,positive,these are certainly very comfortable and functionality is decent,these be certainly very comfortable and functionality be decent
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,positive,i usually dont like headbands but this one is very lightweight doesnt mess up my hair,I usually do not like headband but this one be very lightweight do not mess up my hair
I'm a bit disappointed.,negative,im a bit disappointed,I m a bit disappointed
"I have had this phone for over a year now, and I will tell you, its not that great.",negative,i have had this phone for over a year now and i will tell you its not that great,I have have this phone for over a year now and I will tell you its not that great
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,negative,i ordered this for sony ericsson w810i but i think it only worked once thats when i first used it,I order this for sony ericsson w810i but I think it only work once that s when I first use it
The battery is completely useless to me.,negative,the battery is completely useless to me,the battery be completely useless to I
What a big waste of time.,negative,what a big waste of time,what a big waste of time
Don't waste your $$$ on this one.,negative,dont waste your on this one,do not waste your on this one
Great sound and service.,positive,great sound and service,great sound and service
Really pleased with this product so far.,positive,really pleased with this product so far,really pleased with this product so far
One of my favorite purchases ever.,positive,one of my favorite purchases ever,one of my favorite purchase ever
best bluetooth on the market.,positive,best bluetooth on the market,good bluetooth on the market
Authentic leather with nice shine and comfort .I recommend you this case !!,positive,authentic leather with nice shine and comfort i recommend you this case,authentic leather with nice shine and comfort I recommend you this case
I was very excited to get this headset because I thought it was really cute.,positive,i was very excited to get this headset because i thought it was really cute,I be very excited to get this headset because I think it be really cute
Do not make the same mistake as me.,negative,do not make the same mistake as me,do not make the same mistake as I
Big Disappointment with calendar sync.,negative,big disappointment with calendar sync,big disappointment with calendar sync
the phone was unusable and was not new.,negative,the phone was unusable and was not new,the phone be unusable and be not new
Worst Customer Service Ever.,negative,worst customer service ever,bad customer service ever
"No additional ear gels provided, and no instructions whatsoever.",negative,no additional ear gels provided and no instructions whatsoever,no additional ear gel provide and no instruction whatsoever
It defeats the purpose of a bluetooth headset.,negative,it defeats the purpose of a bluetooth headset,it defeat the purpose of a bluetooth headset
Worth every penny.,positive,worth every penny,worth every penny
Excellent wallet type phone case.,positive,excellent wallet type phone case,excellent wallet type phone case
Nice headphones for the price and they work great!,positive,nice headphones for the price and they work great,nice headphone for the price and they work great
Internet is excrutiatingly slow.,negative,internet is excrutiatingly slow,internet be excrutiatingly slow
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",positive,it is very comfortable to wear as well which is probably the most important aspect about using a case,it be very comfortable to wear as well which be probably the most important aspect about use a case
"It's fits like a glove and is strong, secure, and durable.",positive,its fits like a glove and is strong secure and durable,its fit like a glove and be strong secure and durable
O my gosh the best phone I have ever had.,positive,o my gosh the best phone i have ever had,o my gosh the good phone I have ever have
